shortName,fullName,country,latitude,longitude,WDPA_ID,Notes
Garamba NP,Garamba National Park,"Congo, Democratic Republic of",4.19,29.48,4327,
Chambi NP,Chambi National Park,Tunisia,35.18,8.71,4486,
Arly,Arly Total Faunal Reserve,Burkina Faso,11.56,1.44,4488,
Bontioli Reserve,Bontioli Total Faunal Reserve,Burkina Faso,10.86,-3.11,4489,
Luiana NP,Luiana National Park,Angola,-15.5,15.3,4493,
Bufalo PR,Bufalo Partial Reserve,Uganda,-12.78,13.81,4494,
Vwaza Marsh WR,Vwaza Marsh WR,Malawi,-11,33.45,4648,
Mavinga PR,Mavinga Partial Reserve,Angola,-15.5,20.93,5081,
Bahr Salamat,Bahr Salamat Faunal Reserve,Chad,10.59,19.42,5164,
Siniaka-Minia FR,Siniaka-Minia Faunal Reserve,Chad,10.42,18.2,5165,
Mandelia,Mandelia Faunal Reserve,Chad,11.56,15.22,5166,
Binder,Binder Faunal Reserve,Chad,9.63,14.41,5168,
Arabuko-Sokoke,Arabuko-Sokoke Forest,Kenya,-3.33,39.86,7422,
Mahale Mountain NP,Mahale Mountain National Park,Tanzania,-6.2240708,29.9227042,7521,
Mt Elgon NP,Mount Elgon National Park,Kenya,1.13,34.7,7660,
Kizigo GR,Kizigo Game Reserve,Tanzania,-6.37,34.28,7883,
Ai-Ais Hot Spring,Ai-Ais Hot Spring Game Park,Namibia,-27.91,17.15,8785,
Fada Archei FR,Fada Archei Faunal Reserve,Chad,16.96,21.4,9033,
Abou Telfance,Abou Telfance Faunal Reserve,Chad,12.1,18.88,9034,
Nyungwe FR,Nyungwe Forest Reserve,Rwanda,-2.56,29.21,9148,
Ruvubu NP,Ruvubu National Park,Burundi,-3.13,30.38,9160,
Kibira NP,Kibira National Park,Burundi,-3.6,29.32,9161,
Rusizi NP,Rusizi National Park,Burundi,-3.24,29.25,9162,
Bururi Forest NR,Bururi Forest National Reserve,Burundi,-3.94,29.6,9164,
Madjoari,Madjoari (Total Faunal) Reserve,Burkina Faso,11.37,1.27,9265,
Belezma NP,Belezma National Park,Algeria,35.59,6.04,9742,
Benin,Benin City,Nigeria,6.5,5.5,12201,
Bou-Hedma NP,Bou-Hedma National Park,Tunisia,34.47,9.61,13962,
Jebel Marra,Jebel Marra,Sudan,13.17,24.37,14090,
Lac Oubeira,Lac Oubeira,Algeria,36.84,8.39,17706,
Lac d'Afennourir,Lac d'Afennourir,Morocco,33.33,-5.17,17712,
Talassamtane NP,Talassamtane National Park,Morocco,35.18,-5.21,17742,
Rwenzori NP,Rwenzori National Park,Uganda,0.13,30,18438,
Wadi el Assuiti,Wadi el Assuiti,Egypt,27.13,31.37,18771,
Korup NP,Korup National Park,Cameroon,5.1,8.51,20058,
Mbam et Djerem NP,Mbam et Djerem National Park,Cameroon,5.86,12.77,20166,
Cliffs of Bandiagara,Cliffs of Bandiagara,Mali,14.41,-3.4,20171,
Tassili N'Ajjer NP,Tassili N'Ajjer National Park,Algeria,24.64,9.7,20389,"two options, 4999 or 20389 "
Gishwati FR,Gishwati Forest Reserve,Rwanda,-1.75,29.42,21416,
Tamanrasset,Tamanrasset National Park,Algeria,24.1,3.74,23177,
Mare aux Hippootames,Mare aux Hippootames Bird Reserve,Burkina Faso,11.59,-4.15,28581,
Ngotto Forest,Ngotto Forest,Central African Republic,3.96,17.01,28745,
Massif du Ziama,Massif du Ziama Nature Reserve,Guinea,8.3,-9.36,29066,
Mount Nimba,Mount Nimba,Guinea,7.6,-8.3,29067,
Mt Nimba Strice NR,Mount Nimba Strict National Reserve,Guinea,7.4,-8.23,29067,
Wadi el Rayan,Wadi el Rayan,Egypt,29.2,30.28,30006,
Lac Fitri,Lac Fitri (Wetlands of International Importance),Morocco,12.79,17.44,30017,
Mudumu NP,Mudumu National Park,Namibia,-18.09,23.53,30051,
Mamili/Nkasa Rupara,Mamili (Nkasa Rupara) National Preserve,Namibia,-18.41,23.68,30052,
Kakamega,Kakamega,Kenya,0.33,34.87,33450,"two options, 33450 or 7420 (going with 33450 because bigger)"
Budongo,Budongo,Uganda,1.75,31.43,34804,
Budongo Forest,Budongo Forest,Uganda,1.73,31.55,34804,
Kibale NP,Kibale National Park,Uganda,0.53,30.38,40002,
Lac Tonga,Lac Tonga,Algeria,36.86,8.5,67756,
Bangweulu Swamps,Bangweulu Swamps,Zambia,-11.53,30.72,68323,
Nouabale-Ndoki NP,Nouabale-Ndoki National Park,"Congo, Democratic Republic of",2.52,16.6,72332,
Addax,Addax Sanctuary,Niger,19.31,9.37,72350,
Diawling NP,Diawling National Park,Mauritania,16.31,-16.4,95349,
Hluhluwe,Hluhluwe-Imfolozi Game Reserve Complex,South Africa,-28.23543957,31.93588257,116189,"2 entries, 555571105 and 116189"
Lake Chilwa Wetlands,Lake Chilwa Wetlands,Malawi,-15.16,35.41,145538,
Rukwa,Rukwa,Tanzania,-7.92,31.97,301552,
Boumba Bek/Neki NP,Boumba Bek/Neki National Parl,Cameroon,2.51,14.72,308624,
Conkouati-Douli NP,Conkouati-Douli National Park,"Congo, Democratic Republic of",-3.9,11.45,313401,
Lac Tele,Lac Tele Community Reserve,"Congo, Democratic Republic of",1.1,17.26,313494,
Tongwe,Tongwe National Park,Tanzania,-5.3,38.73,350014,
Bandia,Bandia,Senegal,14.59,-16.97,352632,
