"name","area","WDPAid","patchRichness","nPatches","stddev_WC","mean_WC","analysis_scale"
"Garamba National Park",5150.94940610021,4327,10,52733,0.128019405092963,0.504716797358728,100
"Simien National Park",132.318772314026,2006,9,1910,0.157784083114961,0.567520811315573,100
"Parc National du Diawling",662.128743508618,95349,9,2989,NA,NA,100
"Lake Chilwa",2117.04199244709,145538,11,8567,0.112778551691062,0.427075289051602,100
"Lake Chad Wetlands in Nigeria",6060.60999248206,903113,9,16143,0.167070713789035,0.379954555198068,100
"Lac Fitri",2034.1211834414,30017,10,14751,0.129242737426429,0.267938791881006,100
"Bangweulu Swamps",3198.2880669166,68323,11,15081,0.120790872252322,0.48281557444705,100
"Lac Oubeira",26.1069218787165,17706,8,150,NA,NA,100
"Lac Tonga",25.2414426279865,67756,6,236,NA,NA,100
"Lake Qarun Protected Area",1341.17197030357,555547984,9,1191,NA,NA,100
"Lac d’Afennourir",10.1247850977558,17712,4,218,NA,NA,100
"Conkouati-Douli",5156.98331439062,313401,14,22885,0.14773721489414,0.623485824484765,100
"Nouabalé-Ndoki",4106.79884281496,72332,3,588,0.0317388733333728,0.85611153636247,100
"Lac Télé",4531.46661230057,313494,12,10655,0.107954734343169,0.797668043273521,100
"Odzala Kokoua",13664.5723078619,643,10,8585,0.0591887881260265,0.841369340977597,100
"Amboseli",389.139721275527,758,9,2660,0.182077976480227,0.139082954032937,100
"Aberdare",774.677166530184,756,10,3771,0.13994738948327,0.741155682145216,100
"Nairobi",116.826330445917,761,10,913,0.069784684340489,0.572866332258266,100
"Lake Nakuru",191.211838075167,762,10,1688,0.162652534814315,0.604520135087374,100
"Meru",878.845191725783,755,10,6176,0.146499110485478,0.507377769109487,100
"Tsavo East",20550.1465539525,-999999,13,71440,0.114152461784233,0.348228457767078,100
"Masai Mara",1524.66034636007,1297,9,14943,0.0513511972610263,0.614626321520415,100
"Samburu",159.792170775512,2298,5,606,0.109810147586934,0.26409977686895,100
"Arawale",630.021467140626,2423,5,315,0.0662148652285733,0.442904538053498,100
"Tongwe",13.6366076064377,350014,8,116,0.0695941324846531,0.766033345323861,100
"Golden Gate Highlands National Park",348.488446395834,879,8,503,0.0792455771350129,0.405780364715685,100
"Kruger National Park",19214.9813074498,873,11,82697,0.089887522694706,0.398772646172641,100
"Cliff of Bandiagara (Land of the Dogons)",3326.69271689958,20171,7,12364,0.0633819179784577,0.0559642033210527,100
"Tsoulou",289.474206831833,2270,10,1926,0.134456931603198,0.426396940747579,100
"Mont Fouari",288.812468764174,555571319,9,2588,0.123663563534339,0.511001688693401,100
"Kizigo G.R. (C)",5093.23244586632,7883,9,49702,0.080738052224001,0.391505880117931,100
"Selous G.R",41481.3084524387,1399,12,351252,0.149665093399379,0.687777751916491,100
"Arusha National Park",111.854715426011,925,12,930,0.167699100104805,0.720534178981658,100
"Lake Manyara National Park",108.309022363446,924,11,1251,0.26511942565747,0.445901034717753,100
"Tarangire National Park",2621.66746052118,920,8,23266,0.0934761588690828,0.384895701000891,100
"Mahale Mts.National Park",1468.17431696778,7521,10,9693,0.128145606231808,0.745636992641733,100
"Ruaha National Park",14567.7750982517,917,10,104872,0.132207720239312,0.40639982512142,100
"Mikumi National Park",3232.56854937872,919,11,23673,0.184294440002422,0.719502890634549,100
"Gombe National Park",34.4662545296866,926,10,483,0.153869380982104,0.652991597342101,100
"Kilimanjaro National Park",1856.13932950592,922,13,9535,0.250601175359929,0.662052238552906,100
"Ngorongoro Conservation Area",8286.85439403613,555623796,12,46614,0.247827915026467,0.384587550490867,100
"Talassemtane National Park",614.05363113184,17742,7,3311,NA,NA,100
"Rukwa",2196.82285233562,301552,8,17196,0.134897373502154,0.523756340255693,100
"Gorongosa",3686.68853019709,801,11,27615,0.187295293171695,0.654671224152744,100
"Banhine",6066.47750031138,799,9,26698,0.104409745131582,0.46468787212132,100
"Zinave",3901.5617671334,800,13,18772,0.0987759791517537,0.601542810994929,100
"Niassa",42305.4109343714,555637447,12,378111,0.167387423686107,0.553419994340864,100
"Lamto Scientific Reserve",28.4360885272384,555547526,9,326,0.085850165024555,0.547710559386145,100
"Hluhluwe Game Reserve",144.029290305012,116189,9,1666,0.101016819400428,0.776583790870072,100
"Natal National Park",61.5434000171723,555563964,7,707,0.115485311195874,0.573420540370202,100
"Mweru Wantipa",3170.70226804403,1090,12,15248,0.173699389046085,0.624172884225057,100
"Kafue",22397.4459713434,1085,10,133829,0.146797309791489,0.500999091017106,100
"Nyika",83.3050429446796,1102,8,1155,0.182694091116681,0.688301979857139,100
"West Lunga",1786.23132426852,1093,8,5213,0.147407598044251,0.833768817748348,100
"Kafue Flats",4766.49233957314,4091,11,34437,0.103690126569432,0.380323840611964,100
"Chobe",10538.2800262787,600,10,30006,0.0703912356202455,0.455406898297847,100
"Wadi El Assuti",35.3614173331642,18771,5,205,NA,NA,100
"Wadi El Rayan",1758.77072219576,30006,9,1330,NA,NA,100
"Omayed",690.74931065629,3020,9,4356,NA,NA,100
"Nyika National Park",3106.62226629606,779,11,41987,0.180622814577403,0.59882664680473,100
"Kasungu National Park",2369.50896929265,780,10,18197,0.140259377340956,0.623080940825194,100
"Lengwe National Park",931.480562329122,2315,8,9161,0.151065792032664,0.515697253516942,100
"Mwabvi Wildlife Reserve",345.393247453633,2320,8,3580,0.126421561486038,0.539285866028394,100
"Vwaza Marsh Wildlife Reserve",985.320437797011,4648,11,7394,0.144294759253596,0.510972718051039,100
"Parc National de Djurdjura",163.762779850997,4118,6,2078,NA,NA,100
"Parc National de Belezma",177.12785262979,9742,6,1212,NA,NA,100
"Parc W Niger",2220.18873531027,818,9,9543,0.0818988725467511,0.225106003781474,100
"Réserve totale de faune de Tamou",791.645088983402,2331,7,5165,0.0949035944939449,0.242146619471642,100
"Addax Sanctuary",12781.6819827768,72350,3,1167,NA,NA,100
"Chambi",67.2847408954823,4486,6,420,NA,NA,100
"Parc national de Djebel Bou-Hedma",165.272413749359,13962,6,1116,NA,NA,100
"Liwonde National Park",507.102346246761,2316,10,5025,0.121205525866423,0.448855569056971,100
"Majete Wildlife Reserve",707.194510835127,2319,11,4415,0.168674898388444,0.573670704128888,100
"Réserve partielle de faune d'Ansongo-Ménaka",15276.0288271488,2327,6,1005,0.00494459207978394,0.00662771459537814,1000
"Kibira",479.59184066615,9161,6,110,0.0404028498724541,0.835121783802618,1000
"Parc national du Ruvubu",535.548987687057,9160,8,204,0.0555831772872396,0.614970265066588,1000
"Réserve naturelle du Rusizi",85.4274708933633,9162,7,40,0.0766926513386493,0.557562855580656,1000
"Bururi Forest",26.9677323827126,9164,5,9,0.0844822584822217,0.782438968429325,1000
"Waza",1412.65424568481,608,5,152,0.0682818691601722,0.251924840269046,1000
"Mbam et Djerem",4306.80278790466,20166,9,648,0.0814067885360929,0.76625025351685,1000
"Boumba Bek",2374.35572680993,308624,2,61,0.0202930562069239,0.876874291826156,1000
"Korup",1268.07286343403,20058,3,55,0.0818338645836329,0.723223127443467,1000
"Campo-Ma'an",2621.8886663592,1242,3,85,0.118278255179583,0.843413066305365,1000
"Yankari",2397.21555272932,1332,7,291,0.0791896818822512,0.27741877724882,1000
"W (Benin)",5806.17191365083,12201,8,584,0.0634303001199806,0.275848125841496,1000
"Kidepo Valley",1437.23245553074,958,7,173,0.0853806504330159,0.436383811317951,1000
"Rwenzori Mountains",998.905644444759,18438,9,156,0.0833591973988876,0.774112082065076,1000
"Kibale",792.224748326657,40002,7,91,0.0437486964601898,0.79988370992411,1000
"Murchison Falls",3895.11626338592,956,10,729,0.129127101237457,0.595431854749508,1000
"Fada Archei",1745.53266343474,9033,4,35,NA,NA,1000
"Mandelia",1321.29839745131,5166,6,184,0.0825778072230841,0.359465626460576,1000
"Binder-Léré",1133.53653160855,5168,8,129,0.0615134610168297,0.346704716692615,1000
"Foret de Bandia",104.933988398974,352632,3,28,0.0616069116255272,0.323574795273888,1000
"Kapama Game Reserve",83.6123649907673,555570390,3,38,0.0468878920660295,0.482453426386587,1000
"Mushandike",125.625422726371,1479,6,47,0.0796082677096965,0.541641252410601,1000
"Mare aux Hippopotames",153.062512387361,28581,6,49,0.0700474446964173,0.384652449782259,1000
"National Park Iona",15315.727132169,347,8,456,0.0639416268092991,0.036010428812997,1000
"National Park Cameia",14240.6696712207,349,8,757,0.0623861183700538,0.323311495737708,1000
"National Park Bicuar",7755.39039646189,350,7,1218,0.124194936303044,0.559438367255746,1000
"National Park Mupa",5386.23874503922,2249,8,1219,0.066291263184791,0.508281688470313,1000
"National Park Luengue-Luiana",10470.3948022368,4493,7,2092,0.0697148134730254,0.499206021467085,1000
"National Park Mavinga",5631.43710031837,5081,7,818,0.0797243589380311,0.59914934647019,1000
"Kabore-Tambi",1521.65251956281,1049,7,191,0.0433919074061613,0.3179187900435,1000
"Deux Bales",886.881014112113,2344,5,126,0.050225489680706,0.397564228956135,1000
"W du Burkina Faso",2438.55283270317,1048,4,207,0.0529565564310082,0.248252307459209,1000
"Ai-Ais Hot Springs",4360.58900964402,8785,5,359,0.0325844160737231,0.031307422685687,1000
"Mudumu",718.040758368598,30051,5,142,0.045390431384745,0.40999893990943,1000
"Banc d'Arguin",11910.1013656985,797,5,118,NA,NA,1000
"Skeleton Coast Park",16885.5508913259,885,6,62,0.0258901659106614,0.0229758365992404,1000
"Namib-Naukluft",50876.2402257201,883,6,557,0.0200010037256069,0.0170783991020099,1000
"Etosha",23011.8862932174,884,6,823,0.128617121311275,0.178939304046179,1000
"Waterberg Plateau Park",396.888414536016,887,5,113,0.0292094937431117,0.435876912425102,1000
"Nkasa Rupara",338.772203951884,30052,6,85,0.039347546185466,0.439966386063658,1000
"Daan Viljoen Game Park",40.0718663414971,1362,1,5,0.0160301657406385,0.20653875048433,1000
"Nyungwe",1023.16281280702,9148,4,81,0.0174469772593808,0.848114293847811,1000
"Volcans",163.245789504213,863,4,62,0.035827446043508,0.78952093417496,1000
"Hwange",14743.7167848176,1991,5,1531,0.0745140091135248,0.52093530896742,1000
"Mana Pools",2129.50669873554,2531,6,373,0.0871541395601401,0.550823340250925,1000
"Yangudi Rassa",3058.41446256855,2276,5,281,0.0410262754061897,0.0360206824341287,1000
"Awash",584.482024471931,652,3,72,0.0858952012530616,0.286238355941683,1000
"Abijatta-Shalla",922.100602172625,2279,6,132,0.148684940452465,0.28863969880396,1000
"Omo",3902.86787001389,2280,10,628,0.178766302580523,0.514080220587627,1000
"Bale Mountains",2317.63386843873,2281,8,321,0.180558181532578,0.670028170732776,1000
"Mago",1875.24152956627,2277,8,314,0.136658073234211,0.579943670089462,1000
"Manovo-Gounda-Saint Floris",19049.5000859545,2256,7,2758,0.132357178601856,0.475492972674053,1000
"Manda",954.945881364573,642,7,147,0.0509668338812729,0.402069405877259,1000
"Zakouma",3054.91065652485,641,5,483,0.0514544773064517,0.345355020565146,1000
"Garamba",4970.560966862,1083,7,1032,0.10994562076133,0.507459532655447,1000
"Bontioli",130.879062506336,4489,4,46,0.044555058444454,0.364853460129666,1000
"Singou",1935.66660503885,3229,3,219,0.0495222525586592,0.196275220873662,1000
"Arly",842.751300188101,4488,5,140,0.0582241099500412,0.199176819580986,1000
"Madjoari",295.085396310225,9265,4,78,0.0814122269237817,0.221175437288939,1000
"Siniaka-Minia",4324.81636920566,5165,4,537,0.0378871981406813,0.379321464754656,1000
"Ouadi-Rimé-Ouadi Achim",83325.069787164,1250,5,973,0.0151200192586539,0.0228491256492749,1000
"Zemongo",13733.4708663777,2259,7,3194,0.0873233302953932,0.632595717522332,1000
"Gishwati",14.4628396538684,21416,5,10,0.0348636040318561,0.785871125358841,1000
"Budongo",821.541205277058,34804,7,130,0.0800358651989637,0.795145520918673,1000
"North Rwenzori",35.4453071510627,555549367,6,14,0.041893187626486,0.69173378284676,1000
"Arabuko Sokoke",370.010104295181,7422,3,73,0.0388112896480209,0.804436966487817,1000
"Mount Elgon",607.569354283619,7660,8,135,0.0578720601765129,0.80395148731513,1000
"Kakamega",180.976326687368,33450,4,29,0.0446652495808718,0.806713007971457,1000
"Partial Reserve Buffalo",333.318022205527,4494,5,52,0.0609470717967347,0.49907849493785,1000
"Ngotto",801.028951910029,28745,3,25,0.0236714668126995,0.820389574648524,1000
"Massif du Ziama",918.655546737231,29066,7,82,0.0240968706789303,0.807495411140017,1000
"Bahr Salamat",21293.2320330112,5164,8,2670,0.0571365566005204,0.375516068285728,1000
"Abou Telfane",1086.90997171352,9034,4,172,0.068920656622127,0.357438713201454,1000
"Mount Nimba",146.235689350114,29067,5,36,0.107818824649338,0.771520193754999,1000
"Kourtiagou",438.007831799519,3226,4,59,0.0626956109346069,0.220785103208029,1000
"Pama",2340.91524855995,3228,5,246,0.0570257151131138,0.216359596951808,1000
"Sahel",18220.047721804,3225,8,1404,0.0198093233034572,0.0124586254046042,1000
"Integral Nature Reserve and the Luando",8771.82686895232,3066,8,1580,0.108830451688963,0.62071418313975,1000
"Salonga",33517.3375087849,478292,2,323,0.0147319057746287,0.86438508716285,1000
"Benoué",1672.71905691748,3011,7,252,0.0871969926517628,0.41030718807912,1000
"Tassili N'Ajjer",99109.4396900303,20389,6,382,NA,NA,1000
"Okavango Delta",20505.4728414007,555577555,10,2458,0.0723195031075852,0.472463243472539,1000
"Garamba National Park",5150.94940610021,4327,7,1081,0.106340234418998,0.504931467746236,1000
"Simien National Park",132.318772314026,2006,8,72,0.118260134884946,0.552012268073162,1000
"Parc National du Diawling",662.128743508618,95349,7,142,NA,NA,1000
"Lake Chilwa",2117.04199244709,145538,9,189,0.0966453245774196,0.422870756249783,1000
"Lake Chad Wetlands in Nigeria",6060.60999248206,903113,7,474,0.156653528732717,0.377132725388006,1000
"Lac Fitri",2034.1211834414,30017,9,333,0.110590279049368,0.266071332612591,1000
"Bangweulu Swamps",3198.2880669166,68323,8,340,0.10895787948012,0.479683103737529,1000
"Lac Oubeira",26.1069218787165,17706,4,14,NA,NA,1000
"Lac Tonga",25.2414426279865,67756,5,14,NA,NA,1000
"Lake Qarun Protected Area",1341.17197030357,555547984,4,44,NA,NA,1000
"Lac d’Afennourir",10.1247850977558,17712,4,11,NA,NA,1000
"Conkouati-Douli",5156.98331439062,313401,9,357,0.106456482175204,0.622318343970828,1000
"Nouabalé-Ndoki",4106.79884281496,72332,1,60,0.0277816575216733,0.856186402365206,1000
"Lac Télé",4531.46661230057,313494,7,276,0.101179029524584,0.796070350924256,1000
"Odzala Kokoua",13664.5723078619,643,5,281,0.0487471341604153,0.84162364359441,1000
"Amboseli",389.139721275527,758,6,65,0.147839441020775,0.134112898784415,1000
"Aberdare",774.677166530184,756,7,128,0.1266114272036,0.741519819586351,1000
"Nairobi",116.826330445917,761,5,28,0.059103813632724,0.568746015749367,1000
"Lake Nakuru",191.211838075167,762,8,59,0.142973750728385,0.588759919257246,1000
"Meru",878.845191725783,755,7,109,0.131443750059892,0.510427952912262,1000
"Tsavo East",20550.1465539525,-999999,9,852,0.107075839969394,0.348279945317309,1000
"Masai Mara",1524.66034636007,1297,7,264,0.0359734268081007,0.614029910543154,1000
"Samburu",159.792170775512,2298,3,35,0.0775912606695796,0.25578659921151,1000
"Arawale",630.021467140626,2423,3,15,0.0557171584810939,0.442406782520634,1000
"Tongwe",13.6366076064377,350014,3,7,0.0393541051059202,0.768807511679075,1000
"Golden Gate Highlands National Park",348.488446395834,879,2,37,0.0423045635793288,0.407218665829594,1000
"Kruger National Park",19214.9813074498,873,10,1939,0.0764214323251711,0.398802786536047,1000
"Cliff of Bandiagara (Land of the Dogons)",3326.69271689958,20171,6,313,0.0440513691537533,0.0561033533125263,1000
"Tsoulou",289.474206831833,2270,5,38,0.0890039648605232,0.427214545353397,1000
"Mont Fouari",288.812468764174,555571319,5,63,0.0945836977683739,0.515570705249394,1000
"Kizigo G.R. (C)",5093.23244586632,7883,7,739,0.0581414148182624,0.391703809161315,1000
"Selous G.R",41481.3084524387,1399,10,5311,0.127058802834268,0.685986986992725,1000
"Arusha National Park",111.854715426011,925,7,36,0.152215543204143,0.715266949839014,1000
"Lake Manyara National Park",108.309022363446,924,10,78,0.227333155842151,0.47641359250082,1000
"Tarangire National Park",2621.66746052118,920,6,447,0.0787780440850822,0.38569726363608,1000
"Mahale Mts.National Park",1468.17431696778,7521,9,213,0.0977184422601275,0.741620761038862,1000
"Ruaha National Park",14567.7750982517,917,8,1980,0.118263920464764,0.40691895528621,1000
"Mikumi National Park",3232.56854937872,919,8,337,0.174947833691169,0.719252799406186,1000
"Gombe National Park",34.4662545296866,926,5,20,0.101520502077135,0.639011705518211,1000
"Kilimanjaro National Park",1856.13932950592,922,11,186,0.244051612612278,0.659341758229643,1000
"Ngorongoro Conservation Area",8286.85439403613,555623796,11,935,0.241045831595791,0.383972263082776,1000
"Talassemtane National Park",614.05363113184,17742,5,212,NA,NA,1000
"Rukwa",2196.82285233562,301552,6,460,0.103605272640979,0.524151238256814,1000
"Gorongosa",3686.68853019709,801,10,642,0.164393782667452,0.655095387745871,1000
"Banhine",6066.47750031138,799,7,536,0.0936023529253264,0.464088174338774,1000
"Zinave",3901.5617671334,800,8,496,0.0782616129973895,0.59883284941175,1000
"Niassa",42305.4109343714,555637447,11,6378,0.140156436877215,0.552267466260392,1000
"Lamto Scientific Reserve",28.4360885272384,555547526,2,5,0.0338026617987875,0.540860634449248,1000
"Hluhluwe Game Reserve",144.029290305012,116189,6,51,0.0512336600298984,0.776518090624382,1000
"Natal National Park",61.5434000171723,555563964,5,36,0.0716043715325789,0.558143225370669,1000
"Mweru Wantipa",3170.70226804403,1090,9,377,0.157550165410097,0.618231945915429,1000
"Kafue",22397.4459713434,1085,9,3348,0.122404943840451,0.501083483968647,1000
"Nyika",83.3050429446796,1102,6,49,0.119107611245607,0.688017896886064,1000
"West Lunga",1786.23132426852,1093,7,135,0.120557728998729,0.83367743529071,1000
"Kafue Flats",4766.49233957314,4091,8,725,0.0928198359364425,0.379677131559717,1000
"Chobe",10538.2800262787,600,8,783,0.0658099177249347,0.454700725603477,1000
"Wadi El Assuti",35.3614173331642,18771,2,5,NA,NA,1000
"Wadi El Rayan",1758.77072219576,30006,6,41,NA,NA,1000
"Omayed",690.74931065629,3020,7,118,NA,NA,1000
"Nyika National Park",3106.62226629606,779,8,621,0.152820372848649,0.599467982311488,1000
"Kasungu National Park",2369.50896929265,780,6,645,0.0890207794656347,0.620702094338352,1000
"Lengwe National Park",931.480562329122,2315,6,180,0.111825817172606,0.514045177698178,1000
"Mwabvi Wildlife Reserve",345.393247453633,2320,6,99,0.0935848709920682,0.537002797908681,1000
"Vwaza Marsh Wildlife Reserve",985.320437797011,4648,7,219,0.121042867104994,0.507969493707232,1000
"Parc National de Djurdjura",163.762779850997,4118,5,87,NA,NA,1000
"Parc National de Belezma",177.12785262979,9742,5,81,NA,NA,1000
"Parc W Niger",2220.18873531027,818,6,190,0.053034039960223,0.224206974261436,1000
"Réserve totale de faune de Tamou",791.645088983402,2331,4,108,0.0735364165587762,0.243044715527786,1000
"Addax Sanctuary",12781.6819827768,72350,1,106,NA,NA,1000
"Chambi",67.2847408954823,4486,2,18,NA,NA,1000
"Parc national de Djebel Bou-Hedma",165.272413749359,13962,5,49,NA,NA,1000
"Liwonde National Park",507.102346246761,2316,8,118,0.0769534633453366,0.447682056575788,1000
"Majete Wildlife Reserve",707.194510835127,2319,6,125,0.149035709174338,0.572843361878687,1000
"Réserve partielle de faune d'Ansongo-Ménaka",15276.0288271488,2327,3,27,0.00471743579796998,0.00747890894620385,10000
"Kibira",479.59184066615,9161,2,5,0.0219526633539522,0.806859816929594,10000
"Parc national du Ruvubu",535.548987687057,9160,2,6,0.02038487283676,0.612245573504278,10000
"Réserve naturelle du Rusizi",85.4274708933633,9162,1,1,0,0.524264564070591,10000
"Bururi Forest",26.9677323827126,9164,1,1,NA,0.698287741134041,10000
"Waza",1412.65424568481,608,3,6,0.0488723207806318,0.246509447600718,10000
"Mbam et Djerem",4306.80278790466,20166,2,14,0.0537771104724466,0.759656405636679,10000
"Boumba Bek",2374.35572680993,308624,1,7,0.0152850556335916,0.875548607067728,10000
"Korup",1268.07286343403,20058,1,9,0.0674004074322324,0.72631373337295,10000
"Campo-Ma'an",2621.8886663592,1242,1,15,0.0899778945190301,0.835968877268387,10000
"Yankari",2397.21555272932,1332,3,10,0.0609389890765717,0.275317237635296,10000
"W (Benin)",5806.17191365083,12201,3,22,0.0477032458678004,0.279024112183643,10000
"Kidepo Valley",1437.23245553074,958,3,9,0.0807909254898835,0.416079975524792,10000
"Rwenzori Mountains",998.905644444759,18438,2,10,0.0333810833661128,0.77689618760418,10000
"Kibale",792.224748326657,40002,3,7,0.0375343643071312,0.78079097020679,10000
"Murchison Falls",3895.11626338592,956,5,24,0.107399022353668,0.600545589218198,10000
"Fada Archei",1745.53266343474,9033,1,4,NA,NA,10000
"Mandelia",1321.29839745131,5166,3,9,0.0643228457198931,0.373873694039026,10000
"Binder-Léré",1133.53653160855,5168,2,8,0.039291285835305,0.344812298408495,10000
"Foret de Bandia",104.933988398974,352632,1,2,0,0.278535789002109,10000
"Kapama Game Reserve",83.6123649907673,555570390,0,0,NA,0.550906643660172,10000
"Mushandike",125.625422726371,1479,1,2,NA,0.524581290317218,10000
"Mare aux Hippopotames",153.062512387361,28581,2,2,0.0414929836988449,0.381322318544755,10000
"National Park Iona",15315.727132169,347,4,20,0.0484160792442561,0.0332057106466593,10000
"National Park Cameia",14240.6696712207,349,4,28,0.0486922984994279,0.32561366914379,10000
"National Park Bicuar",7755.39039646189,350,6,42,0.0871412304843312,0.551025008670065,10000
"National Park Mupa",5386.23874503922,2249,4,25,0.0424536942043307,0.508330740182426,10000
"National Park Luengue-Luiana",10470.3948022368,4493,5,46,0.0446049681966076,0.498489818806661,10000
"National Park Mavinga",5631.43710031837,5081,5,27,0.0430559756159463,0.592302162653322,10000
"Kabore-Tambi",1521.65251956281,1049,2,7,0.0250205023154745,0.316417959028882,10000
"Deux Bales",886.881014112113,2344,3,7,0.0359265505112511,0.391735925402208,10000
"W du Burkina Faso",2438.55283270317,1048,3,13,0.0329412160373913,0.247762400895619,10000
"Ai-Ais Hot Springs",4360.58900964402,8785,3,32,0.0277033419538366,0.0304986851308617,10000
"Mudumu",718.040758368598,30051,2,7,0.0317046959191419,0.406587012952196,10000
"Banc d'Arguin",11910.1013656985,797,3,5,NA,NA,10000
"Skeleton Coast Park",16885.5508913259,885,2,11,0.02306581893899,0.0236292328308627,10000
"Namib-Naukluft",50876.2402257201,883,3,28,0.0178970588318704,0.0170231539240485,10000
"Etosha",23011.8862932174,884,3,41,0.119369665566803,0.177425877655012,10000
"Waterberg Plateau Park",396.888414536016,887,2,4,0.0152678140995703,0.420142799533533,10000
"Nkasa Rupara",338.772203951884,30052,2,4,0.0180965351589548,0.437084776125177,10000
"Daan Viljoen Game Park",40.0718663414971,1362,1,1,NA,0.196083596119514,10000
"Nyungwe",1023.16281280702,9148,2,5,0.0159693699851383,0.830627629588257,10000
"Volcans",163.245789504213,863,1,1,0.0753897428512573,0.728228241277376,10000
"Hwange",14743.7167848176,1991,4,52,0.0632582655290531,0.518986752030511,10000
"Mana Pools",2129.50669873554,2531,3,14,0.0564512951324384,0.550437300502469,10000
"Yangudi Rassa",3058.41446256855,2276,3,13,0.0151632114294407,0.032772727607237,10000
"Awash",584.482024471931,652,2,6,0.0430541532211807,0.307641981314771,10000
"Abijatta-Shalla",922.100602172625,2279,4,5,0.0685743493269765,0.31933441252238,10000
"Omo",3902.86787001389,2280,5,20,0.130114146889142,0.527415512524185,10000
"Bale Mountains",2317.63386843873,2281,4,13,0.170616247339947,0.656161750812003,10000
"Mago",1875.24152956627,2277,4,11,0.0837015855458594,0.578886700807742,10000
"Manovo-Gounda-Saint Floris",19049.5000859545,2256,5,53,0.123024445387707,0.475233913475888,10000
"Manda",954.945881364573,642,3,10,0.0294980653813877,0.418454320830049,10000
"Zakouma",3054.91065652485,641,3,17,0.0367409007827633,0.343751682725475,10000
"Garamba",4970.560966862,1083,5,27,0.1076427587408,0.516797658593134,10000
"Bontioli",130.879062506336,4489,1,1,0.0257815734045201,0.376000619002557,10000
"Singou",1935.66660503885,3229,2,11,0.0193810104200399,0.196623055079893,10000
"Arly",842.751300188101,4488,2,12,0.0184112262297962,0.216194137733998,10000
"Madjoari",295.085396310225,9265,1,3,0.0371004307774981,0.242366582611968,10000
"Siniaka-Minia",4324.81636920566,5165,3,13,0.0234497985680411,0.37891182696639,10000
"Ouadi-Rimé-Ouadi Achim",83325.069787164,1250,2,44,0.0125552155817671,0.0225860690282397,10000
"Zemongo",13733.4708663777,2259,4,40,0.0650617396834282,0.632099587340324,10000
"Gishwati",14.4628396538684,21416,0,0,NA,0.742887020111084,10000
"Budongo",821.541205277058,34804,3,6,0.0633730241276148,0.757850748473115,10000
"North Rwenzori",35.4453071510627,555549367,0,0,0,0.68549633026123,10000
"Arabuko Sokoke",370.010104295181,7422,3,4,0.0149889548531174,0.76175861169957,10000
"Mount Elgon",607.569354283619,7660,2,7,0.0281883402634351,0.789517129381012,10000
"Kakamega",180.976326687368,33450,1,2,0,0.781693092341064,10000
"Partial Reserve Buffalo",333.318022205527,4494,1,3,0.0340552644908906,0.497664824435744,10000
"Ngotto",801.028951910029,28745,1,6,0.0154878918913924,0.818712005746463,10000
"Massif du Ziama",918.655546737231,29066,1,6,0.0150981723187299,0.805753387316966,10000
"Bahr Salamat",21293.2320330112,5164,5,75,0.0381841777524866,0.372163688126584,10000
"Abou Telfane",1086.90997171352,9034,3,9,0.059236383158164,0.340524334153432,10000
"Mount Nimba",146.235689350114,29067,1,1,0.0412007570266724,0.773426651954651,10000
"Kourtiagou",438.007831799519,3226,2,5,0.0376303311939668,0.240752888222535,10000
"Pama",2340.91524855995,3228,3,13,0.032053521056452,0.217154824796686,10000
"Sahel",18220.047721804,3225,4,34,0.0079398045739023,0.01251977737084,10000
"Integral Nature Reserve and the Luando",8771.82686895232,3066,4,33,0.0812915877383002,0.612807407592881,10000
"Salonga",33517.3375087849,478292,1,19,0.0116078594204306,0.864793063472514,10000
"Benoué",1672.71905691748,3011,2,11,0.0564243255084071,0.422255573650371,10000
"Tassili N'Ajjer",99109.4396900303,20389,1,40,NA,NA,10000
"Okavango Delta",20505.4728414007,555577555,4,61,0.0536449455464142,0.471801660583291,10000
"Garamba National Park",5150.94940610021,4327,5,30,0.106985443886114,0.516996413406169,10000
"Simien National Park",132.318772314026,2006,1,1,0,0.456777830549649,10000
"Parc National du Diawling",662.128743508618,95349,3,7,NA,NA,10000
"Lake Chilwa",2117.04199244709,145538,3,11,0.0508395608643076,0.394674193339327,10000
"Lake Chad Wetlands in Nigeria",6060.60999248206,903113,4,17,0.140294042821853,0.368052170349069,10000
"Lac Fitri",2034.1211834414,30017,5,11,0.0663923456441775,0.247986031374495,10000
"Bangweulu Swamps",3198.2880669166,68323,2,10,0.0839219441475925,0.471417772848289,10000
"Lac Oubeira",26.1069218787165,17706,0,0,NA,NA,10000
"Lac Tonga",25.2414426279865,67756,0,0,NA,NA,10000
"Lake Qarun Protected Area",1341.17197030357,555547984,2,6,NA,NA,10000
"Lac d’Afennourir",10.1247850977558,17712,0,0,NA,NA,10000
"Conkouati-Douli",5156.98331439062,313401,5,13,0.0737566685586002,0.609846580097369,10000
"Nouabalé-Ndoki",4106.79884281496,72332,1,10,0.023402076513942,0.855921644989072,10000
"Lac Télé",4531.46661230057,313494,2,11,0.0661297365205829,0.802246455012862,10000
"Odzala Kokoua",13664.5723078619,643,2,12,0.0370033356993496,0.841555461291337,10000
"Amboseli",389.139721275527,758,1,4,0.023856520652771,0.130073933530212,10000
"Aberdare",774.677166530184,756,4,8,0.0791976450434495,0.762333414358337,10000
"Nairobi",116.826330445917,761,1,1,0,0.542611087984958,10000
