"name","area","WDPAid","patchRichness","nPatches","stddev_WC","mean_WC","analysis_scale"
"Boumba Bek",2374.35572680993,308624,1,11,0.0151623871226933,0.877669379615308,5000
"Korup",1268.07286343403,20058,1,12,0.0785046236975426,0.721011352541801,5000
"Campo-Ma'an",2621.8886663592,1242,1,17,0.0973424433948477,0.845169695247595,5000
"Yankari",2397.21555272932,1332,3,28,0.0642462091061161,0.280677821651785,5000
"W (Benin)",5806.17191365083,12201,3,43,0.0531104741379487,0.275885792338565,5000
"Kidepo Valley",1437.23245553074,958,4,24,0.0757286967914822,0.443804312336026,5000
"Rwenzori Mountains",998.905644444759,18438,3,17,0.065488164076109,0.767809614028025,5000
"Kibale",792.224748326657,40002,4,13,0.0322452813060068,0.789888219824533,5000
"Murchison Falls",3895.11626338592,956,9,54,0.11692517823213,0.591840861448963,5000
"Fada Archei",1745.53266343474,9033,1,7,NA,NA,5000
"Mandelia",1321.29839745131,5166,4,15,0.0746781154709916,0.361127454374171,5000
"Binder-Léré",1133.53653160855,5168,4,15,0.0338116227504164,0.341697704181029,5000
"Foret de Bandia",104.933988398974,352632,2,2,0.0590196430030534,0.283795892014122,5000
"Kapama Game Reserve",83.6123649907673,555570390,3,4,0.0271671327646705,0.478362434052534,5000
"Mushandike",125.625422726371,1479,3,6,0.0641011662259329,0.535621184605899,5000
"Mare aux Hippopotames",153.062512387361,28581,4,6,0.0388204220106796,0.385151959160717,5000
"National Park Iona",15315.727132169,347,4,41,0.0632505590709311,0.0368478076561951,5000
"National Park Cameia",14240.6696712207,349,4,66,0.0508745642583906,0.325490389505858,5000
"National Park Bicuar",7755.39039646189,350,6,112,0.103980116740948,0.555342381368228,5000
"National Park Mupa",5386.23874503922,2249,6,71,0.0467102209459263,0.50376043251787,5000
"National Park Luengue-Luiana",10470.3948022368,4493,5,124,0.0523959681424443,0.501639612258332,5000
"National Park Mavinga",5631.43710031837,5081,6,77,0.0579747842458628,0.597926788653072,5000
"Kabore-Tambi",1521.65251956281,1049,3,15,0.0332736661297227,0.317751299603023,5000
"Deux Bales",886.881014112113,2344,4,16,0.0367203903299307,0.389938976034357,5000
"W du Burkina Faso",2438.55283270317,1048,2,15,0.0432689942833925,0.248552796422941,5000
"Ai-Ais Hot Springs",4360.58900964402,8785,3,48,0.0270603786388042,0.0315042779428433,5000
"Mudumu",718.040758368598,30051,2,11,0.0326705191905,0.412972670840406,5000
"Banc d'Arguin",11910.1013656985,797,3,24,NA,NA,5000
"Skeleton Coast Park",16885.5508913259,885,3,21,0.0247053150133886,0.0233790508249697,5000
"Namib-Naukluft",50876.2402257201,883,3,69,0.0183159322942501,0.0168606478232394,5000
"Etosha",23011.8862932174,884,3,85,0.124046353794963,0.178028500376215,5000
"Waterberg Plateau Park",396.888414536016,887,2,16,0.0311674515287673,0.428500798664291,5000
"Nkasa Rupara",338.772203951884,30052,4,14,0.0301691727635723,0.440274932789147,5000
"Daan Viljoen Game Park",40.0718663414971,1362,1,2,0.00677202641963959,0.205443308625744,5000
"Nyungwe",1023.16281280702,9148,3,14,0.0266387604343285,0.83695270811306,5000
"Volcans",163.245789504213,863,2,5,0.0291405891316034,0.776877081019414,5000
"Hwange",14743.7167848176,1991,5,102,0.0648976278938842,0.522485802425179,5000
"Mana Pools",2129.50669873554,2531,5,37,0.0707436308757456,0.552798472558458,5000
"Yangudi Rassa",3058.41446256855,2276,3,29,0.0278585901978284,0.0376853767747192,5000
"Awash",584.482024471931,652,2,8,0.0450057872579377,0.297142069647058,5000
"Abijatta-Shalla",922.100602172625,2279,5,18,0.127782857540187,0.290257528903991,5000
"Omo",3902.86787001389,2280,6,62,0.166796980947826,0.512995389814702,5000
"Bale Mountains",2317.63386843873,2281,7,21,0.174714666842864,0.669465857788206,5000
"Mago",1875.24152956627,2277,6,34,0.117478052798472,0.579996919114762,5000
"Manovo-Gounda-Saint Floris",19049.5000859545,2256,5,165,0.12428616811953,0.475290245334254,5000
"Manda",954.945881364573,642,3,11,0.0394742389515171,0.407327937973495,5000
"Zakouma",3054.91065652485,641,5,45,0.0415764807294823,0.344952005503559,5000
"Garamba",4970.560966862,1083,5,66,0.10094412619849,0.506165917740024,5000
"Bontioli",130.879062506336,4489,1,2,0.0164467694160715,0.371279524699334,5000
"Singou",1935.66660503885,3229,2,23,0.0323254791736328,0.198041939016656,5000
"Arly",842.751300188101,4488,3,13,0.032972066161542,0.199229540522808,5000
"Madjoari",295.085396310225,9265,1,7,0.0405355071459572,0.203580162342348,5000
"Siniaka-Minia",4324.81636920566,5165,3,38,0.0306206305251571,0.377986089868525,5000
